Date,AAPL,MSFT,SQ
2018-05-14,47.037498474121094,98.02999877929688,54.279998779296875
2018-05-15,46.61000061035156,97.31999969482422,54.650001525878906
2018-05-16,47.04499816894531,97.1500015258789,56.59000015258789
2018-05-17,46.747501373291016,96.18000030517578,54.81999969482422
2018-05-18,46.57749938964844,96.36000061035156,55.040000915527344
2018-05-21,46.907501220703125,97.5999984741211,56.38999938964844
2018-05-22,46.790000915527344,97.5,54.630001068115234
2018-05-23,47.09000015258789,98.66000366210938,55.09000015258789
2018-05-24,47.037498474121094,98.30999755859375,55.54999923706055
2018-05-25,47.14500045776367,98.36000061035156,55.77000045776367
2018-05-29,46.974998474121094,98.01000213623047,56.91999816894531
2018-05-30,46.875,98.94999694824219,57.90999984741211
2018-05-31,46.717498779296875,98.83999633789062,58.25
2018-06-01,47.560001373291016,100.79000091552734,59.40999984741211
